Cellularity;Growth_pattern_1;Growth_pattern_2;Proliferation;class
0.1155;0.21951;0;0.00667;1
0.11221;0.32033;0.01587;0.00621;1
0.07599;0.18699;0.01568;0.01171;1
0.30598;0.27317;0;0.00963;1
0.28929;0.15935;0;0.04401;1
0.16122;0.1626;0;0.01716;1
0.08666;0.17561;0;0.00508;1
0.11023;0.05203;0.01635;0.01779;1
0.50353;0.25366;0;0.05175;1
0.2236;0.56748;0.03721;0.00798;1
0.34021;0.21463;0.00776;0.00608;1
0.1454;0.08618;0;0.00466;1
0.0984;0.14309;0;0.01483;1
0.14405;0.38211;0.0252;0.00833;1
0.20904;0.27317;0.00358;0.03041;1
0.63164;0.37236;0;0.00485;1
0.31619;0.24715;0;0.00142;1
0.53847;0.31545;0;0.00904;1
0.24666;0.26992;0;0.01507;1
0.18859;0.06016;0;0.04735;1
0.0427;0.12846;0.02803;0.00957;1
0.37609;0.41626;0;0.00302;1
0.19916;0.37886;0;0.01713;1
0.28482;0.55122;0;0.00582;1
0.22926;0.20488;0;0.00268;1
0.18382;0.28943;0.00618;0.00568;1
0.46191;0.34797;0.02653;0.0324;1
0.08539;0.14797;0;0.02988;1
0.05903;0.2;0.00335;0.00347;1
0.23667;0.26829;0.00559;0.00582;1
0.2998;0.25203;0;0.01038;1
0.14501;0.21951;0.01306;0.0046;1
0.20182;0.17398;0;0.00951;1
0.45679;0.24065;0;0.03437;1
0.33479;0.2748;0.03316;0.01938;1
0.07155;0.14797;0;0.00468;1
0.74712;0.26504;0;0.03131;1
0.26445;0.41138;0.01155;0.00851;1
0.17263;0.13821;0;0.06002;1
0.1882;0.23902;0;0.00445;1
0.56938;0.47317;0;0.00483;1
0.10209;0.18211;0;0.015;1
0.08325;0.25366;0.00628;0.01364;1
0.27161;0.38862;0;0.00605;1
0.52254;0.59187;0;0.02082;1
0.51406;0.40976;0.01871;0.04699;1
0.168;0.21463;0;0.00966;1
0.31849;0.34472;0.00907;0.0104;1
0.22898;0.17398;0;0.08676;1
0.20815;0.23252;0;0.0072;1
0.24238;0.12683;0;0.01271;1
0.12203;0.29919;0;0.00353;1
0.50601;0.30894;0;0.04289;1
0.37117;0.41626;0;0.00286;1
0.13117;0.33171;0;0.00691;1
0.32926;0.2878;0;0.00693;1
0.28588;0.28943;0.02096;0.01082;1
0.22663;0.23577;0;0.00386;1
0.48006;0.35122;0.01853;0.03984;1
0.29354;0.42927;0.01551;0.00431;1
0.27281;0.40325;0;0.01182;1
0.2832;0.31057;0;0.00699;1
0.21042;0.10081;0;0.00678;1
0.50936;0.77561;0;0.01583;1
0.14343;0.24228;0;0.00848;1
0.20136;0.50407;0.03586;0.00239;1
0.33648;0.45528;0.01526;0.00749;1
0.24447;0.26504;0;0.01193;1
0.11796;0.06016;0.01196;0.01326;1
0.42751;0.30244;0;0.00654;1
0.09468;0.26341;0;0.01251;1
0.12223;0.14634;0;0.00479;1
0.21981;0.40488;0;0.00376;1
0.32565;0.20163;0;0.00397;1
0.21422;0.20488;0;0.00251;1
0.11725;0.09431;0;0.01789;1
0.74382;0.17073;0;0.09381;1
0.37835;0.17398;0;0.00813;1
0.2091;0.30732;0;0.00524;1
0.1556;0.22927;0;0.00322;1
0.25225;0.34959;0.01053;0.01087;1
0.19705;0.19512;0;0.00339;1
0.2528;0.15122;0;0.00897;1
0.17811;0.28943;0;0.00864;1
0.24893;0.29268;0.0193;0.01352;1
0.04808;0.14472;0.0299;0.01821;1
0.19854;0.10569;0;0.02492;1
0.1096;0.22602;0.00178;0.005;1
0.0938;0.13496;0;0.00587;1
0.14446;0.17398;0;0.00645;1
0.23949;0.30569;0;0.00498;1
0.19179;0.27317;0;0.00744;1
0.17635;0.23902;0.00592;0.0074;1
0.24042;0.34797;0;0.01135;1
0.39091;0.40813;0;0.01033;2
0.10059;0.33496;0;0.00362;2
0.27342;0.19187;0.0149;0.00805;2
0.24566;0.54797;0.01128;0.00357;2
0.08828;0.18537;0;0.02532;2
0.21532;0.27642;0.19354;0.04321;2
0.16579;0.13333;0;0.0504;2
0.13428;0.3626;0.0364;0.01485;2
0.10978;0.56911;0.02427;0.00198;2
0.20742;0.31707;0.17333;0.36897;2
0.16919;0.42764;0;0.02915;2
0.16579;0.36423;0.01281;0.00916;2
0.40294;0.15285;0;0.04694;2
0.06998;0.06992;0;0.04594;2
0.12104;0.20488;0.00908;0.01811;2
0.30852;0.22927;0.01644;0.1039;2
0.29019;0.37236;0.00613;0.02739;2
0.43415;0.16423;0.00692;0.05037;2
0.27649;0.33496;0;0.00715;2
0.18062;0.33821;0.03594;0.02101;2
0.18926;0.14309;0;0.02819;2
0.10671;0.15935;0;0.03459;2
0.06593;0.15935;0.01935;0.03768;2
0.14786;0.05854;0;0.02144;2
0.12341;0.17236;0.02363;0.02633;2
0.11889;0.17561;0.00184;0.04011;2
0.26143;0.40976;0.06263;0.01318;2
0.04426;0.05691;0.01409;0.00908;2
1;0.13171;0;0.03594;2
0.35524;0.56911;0.01199;0.00813;2
0.09161;0.34146;0.02136;0.16329;2
0.19499;0.15285;0.03836;0.04523;2
0.85978;0.23902;0;0.02483;2
0.06444;0.08293;0;0.03205;2
0.04245;0.15447;0.0087;0.0875;2
0.18441;0.52358;0.00548;0.00176;2
0.11351;0.07642;0;0.01636;2
0.05835;0.1187;0;0.01034;2
0.19061;0.01951;0.00718;0.04798;2
0.07551;0.06016;0.00476;0.02375;2
0.19374;0.10244;0.06754;0.04695;2
0.15061;0.13659;0.0019;0.05838;2
0.1132;0.15772;0.01075;0.00655;2
0.07688;0.10244;0;0.01061;2
0.16293;0.13984;0;0.01054;2
0.2841;0.15285;0.00593;0.01264;2
0.04494;0.19512;0.01694;0.01658;2
0.10535;0.09268;0.01209;0.02076;2
0.20086;0.33821;0;0.00274;2
0.08727;0.14797;0;0.03723;2
0.18125;0.15285;0.04111;0.01155;2
0.28135;0.14634;0.01113;0.04406;2
0.15626;0.2;0.0579;0.01594;2
0.06968;0.15122;0;0.04256;2
0.06584;0.1252;0;0.0124;2
0.0458;0.24715;0;0.01895;2
0.50986;0.38699;0.02234;0.05042;2
0.16238;0.27805;0.02363;0.01349;2
0.49388;0.54797;0.00238;0.01358;2
0.10931;0.04065;0;0.0384;2
0.13398;0.16911;0;0.01399;2
0.13813;0.27317;0.05211;0.00998;2
0.26243;0.5252;0;0.02169;2
0.22784;0.23252;0.24842;0.10239;2
0.182;0.15447;0.01091;0.03744;2
0.16978;0.41789;0.01926;0.00618;2
0.26898;0.26667;0.1724;1;2
0.17687;0.26504;0;0.0193;2
0.09945;0.12846;0.01921;0.01373;2
0.05724;0.17073;0.00228;0.07565;2
0.15768;0.16098;0.02777;0.01105;2
0.1971;0.05203;0.04944;0.05613;2
0.10465;0.38862;0;0.00851;2
0.1777;0.0878;0.00874;0.03662;2
0.13092;0.0374;0;0.04353;2
0.04478;0.13984;0;0.00888;3
0.1158;0.08943;0.01051;0.01579;3
0.11261;0.09268;0.00996;0.13622;3
0.25303;0.4;0;0.00443;3
0.46278;0.03577;0.04399;0.10444;3
0.13891;0.15447;0;0.02564;3
0.12334;0.05854;0.06422;0.02714;3
0.07341;0.12195;0;0.04722;3
0.12125;0.14797;0.02098;0.01977;3
0.14599;0.21463;0;0.01624;3
0.08075;0.14959;0;0.00726;3
0.3157;0.15122;0.14947;0.15159;3
0.39996;0.18537;0;0.5743;3
0;0.05854;0.01327;0.0056;3
0.05784;0.25366;0;0.00822;3
0.29915;0.27317;0;0.09232;3
0.02579;0.12195;0;0.00503;3
0.04631;0.2813;0.0436;0.02224;3
0.11169;0.1626;0.0067;0.0019;3
0.16355;0.49756;0.01209;0.00073;3
0.12549;0.02114;0;0.04614;3
0.15564;0.11057;0.03825;0.02926;3
0.34789;0.16911;0.13629;0.06486;3
0.07956;0.06504;0.03621;0.02264;3
0.16937;0.28943;0;0.00845;3
0.16039;0.15285;0.02897;0.05038;3
0.0349;0.03415;0.02063;0.02599;3
0.0604;0.0374;0.00155;0.03808;3
0.06009;0.4374;0.05315;0.01378;3
0.19527;0.09106;0;0.03017;3
0.28242;0.16098;0;0.06779;3
0.05221;0.1187;0.00132;0.09224;3
0.14812;0.12195;0.00902;0.065;3
0.33658;0.25366;0.06956;0.05558;3
0.19322;0.14472;0.03859;0.02256;3
0.36074;0.25691;0;0.15888;3
0.31641;0.25691;0.00586;0.18313;3
0.15315;0.29268;0.0094;0.00308;3
0.06852;0.11057;0.06495;0.01389;3
0.36994;0.23577;0;0.04794;3
0.07853;0.1187;0.03532;0.00967;3
0.24025;0.13659;0.00566;0.06487;3
0.13995;0.18537;0;0.01166;3
0.04415;0.40325;0;0.00901;3
0.1894;0.06829;0.18413;0.06854;3
0.10288;0.34797;0.12099;0.49337;3
0.21031;0.16423;0.00812;0.02115;3
0.08209;0.18049;0;0.01182;3
0.15794;0.10569;0;0.02608;3
0.30793;0.14959;0;0.06057;3
0.13497;0.10244;0;0.01007;3
0.15317;0.32358;0.16067;0.02898;3
0.29991;0.25528;0.0169;0.01577;3
0.02607;0.16911;0;0.01573;3
0.10535;0.21463;0;0.01077;3
0.10986;0.19675;0.03765;0.19497;3
0.07207;0.12033;0;0.02163;3
0.07791;0.12195;0;0.0554;3
0.12017;0.16748;0.07391;0.01315;3
0.05693;0.06179;0.0192;0.01141;3
0.0715;0.12033;0.06609;0.01892;3
0.0128;0.0374;0.01061;0.00978;3
0.16206;0.17886;0.10516;0.13759;3
0.10297;0.12033;0.0685;0.04212;3
0.13363;0.21789;0;0.01477;3
0.13355;0.39837;0.26222;0.06533;3
0.28438;0.23902;0.01175;0.10401;3
0.08997;0.11057;0.01523;0.0121;3
0.21372;0.30732;0.36431;0.11602;3
0.01831;0.06992;0.0234;0.0093;3
0.04497;0.09756;0.0091;0.01953;3
0.14598;0.18049;0.02368;0.0308;3
0.29542;0.36585;0;0.02938;3
0.09836;0.15772;0.0069;0.00861;3
0.10544;0.05528;0;0.02621;3
0.317;0.11057;0;0.09209;3
0.10133;0.18537;0;0.00842;3
0.05543;0.10894;0.01906;0.03354;3
0.01403;0.10407;0.01652;0.00957;3
0.12344;0.19675;0.01036;0.0104;3
0.1749;0.07967;0;0.05327;3
0.09401;0.12033;0;0.01148;3
0.22703;0.25366;0.02198;0.10543;3
0.04919;0.18862;0;0.02875;3
0.11174;0.10894;0.01597;0.08039;3
0.06651;0.05691;0;0.04772;3
0.04598;0.18862;0;0.00845;3
0.26474;0.42927;0;0.01736;3
0.09011;0.07642;0;0.01387;3
0.42443;0.26341;0;0.00254;3
0.44666;0.23415;0.02953;0.01467;3
0.17534;0.35285;0.00596;0.0027;3
0.05529;0.06992;0;0.01139;3
0.24302;0.04878;0;0.2348;3
0.31168;0.15122;0;0.02165;3
0.0763;0.16423;0.02894;0.02056;3
0.12009;0.15935;0.0609;0.02838;3
0.06211;0.16748;0;0.00649;3
0.14001;0.20976;0.00685;0.02566;3
0.16188;0.22764;0.01964;0.04886;3
